Model,random_mean,random_std,louo_mean,louo_std,gap_pts
DecisionTree,0.6944444444444444,0.06544612104155018,0.4055555555555555,0.05781134556023591,28.888888888888893
RandomForest,0.8306878306878307,0.02904034179907427,0.580952380952381,0.05773502691896257,24.97354497354497
MLP_stats,0.8518518518518519,0.034187428527301826,0.569047619047619,0.01904761904761906,28.280423280423285
TinyCNN16,0.9206349206349206,0.005611958580845648,0.6214285714285714,0.015430334996209221,29.920634920634914
TinyCNN32,0.9642857142857143,0.0194403947839935,0.6309523809523809,0.02935435239509035,33.333333333333336
TinyMLP_nn,0.876984126984127,0.024461960329241975,0.5690476190476191,0.03515434061960335,30.793650793650784
