eval,n,acc,macroF1
test_easy,865,76.878612716763,39.87262379943524
test_medium,3000,85.16666666666667,55.38460689898622
test_hard,2004,79.49101796407186,67.88016036611869
random_overlap,2774,84.06633020908436,63.97592332612858
user_independent,4267,51.6756503398172,23.427676035437823
